Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

901	1.000000000000000e+00	300
902	1.000000000000000e+00	300
903	1.000000000000000e+00	300
904	1.000000000000000e+00	300
905	1.000000000000000e+00	300
906	1.000000000000000e+00	300
907	1.000000000000000e+00	300
908	1.000000000000000e+00	300
909	1.000000000000000e+00	300
910	1.000000000000000e+00	300
911	1.000000000000000e+00	300
912	1.000000000000000e+00	300
913	1.000000000000000e+00	300
914	1.000000000000000e+00	300
915	1.000000000000000e+00	300
916	1.000000000000000e+00	300
917	1.000000000000000e+00	300
918	1.000000000000000e+00	300
919	1.000000000000000e+00	300
920	1.000000000000000e+00	300
921	1.000000000000000e+00	300
922	1.000000000000000e+00	300
923	1.000000000000000e+00	300
924	1.000000000000000e+00	300
925	1.000000000000000e+00	300
926	1.000000000000000e+00	300
927	1.000000000000000e+00	300
928	1.000000000000000e+00	300
929	1.000000000000000e+00	300
930	1.000000000000000e+00	300
931	1.000000000000000e+00	300
932	1.000000000000000e+00	300
933	1.000000000000000e+00	300
934	1.000000000000000e+00	300
935	1.000000000000000e+00	300
936	1.000000000000000e+00	300
937	1.000000000000000e+00	300
938	1.000000000000000e+00	300
939	1.000000000000000e+00	300
940	1.000000000000000e+00	300
941	1.000000000000000e+00	300
942	1.000000000000000e+00	300
943	1.000000000000000e+00	300
944	1.000000000000000e+00	300
945	1.000000000000000e+00	300
946	1.000000000000000e+00	300
947	1.000000000000000e+00	300
948	1.000000000000000e+00	300
949	1.000000000000000e+00	300
950	1.000000000000000e+00	300
951	1.000000000000000e+00	300
952	1.000000000000000e+00	300
953	1.000000000000000e+00	300
954	1.000000000000000e+00	300
955	1.000000000000000e+00	300
956	1.000000000000000e+00	300
957	1.000000000000000e+00	300
958	1.000000000000000e+00	300
959	1.000000000000000e+00	300
960	1.000000000000000e+00	300
961	1.000000000000000e+00	300
962	1.000000000000000e+00	300
963	1.000000000000000e+00	300
964	1.000000000000000e+00	300
965	1.000000000000000e+00	300
966	1.000000000000000e+00	300
967	1.000000000000000e+00	300
968	1.000000000000000e+00	300
969	1.000000000000000e+00	300
970	1.000000000000000e+00	300
971	1.000000000000000e+00	300
972	1.000000000000000e+00	300
973	1.000000000000000e+00	300
974	1.000000000000000e+00	300
975	1.000000000000000e+00	300
976	1.000000000000000e+00	300
977	1.000000000000000e+00	300
978	1.000000000000000e+00	300
979	1.000000000000000e+00	300
980	1.000000000000000e+00	300
981	1.000000000000000e+00	300
982	1.000000000000000e+00	300
983	1.000000000000000e+00	300
984	1.000000000000000e+00	300
985	1.000000000000000e+00	300
986	1.000000000000000e+00	300
987	1.000000000000000e+00	300
988	1.000000000000000e+00	300
989	1.000000000000000e+00	300
990	1.000000000000000e+00	300
991	1.000000000000000e+00	300
992	1.000000000000000e+00	300
993	1.000000000000000e+00	300
994	1.000000000000000e+00	300
995	1.000000000000000e+00	300
996	1.000000000000000e+00	300
997	1.000000000000000e+00	300
998	1.000000000000000e+00	300
999	1.000000000000000e+00	300
1000	1.000000000000000e+00	300


Tempo gasto: 28.264345
