Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	4
2	1.000000000000000e+00	10
3	1.000000000000000e+00	4
4	1.000000000000000e+00	18
5	1.000000000000000e+00	24
6	1.000000000000000e+00	6
7	1.000000000000000e+00	18
8	1.000000000000000e+00	4
9	1.000000000000000e+00	20
10	1.000000000000000e+00	10
11	1.000000000000000e+00	10
12	1.000000000000000e+00	2
13	1.000000000000000e+00	12
14	1.000000000000000e+00	4
15	1.000000000000000e+00	16
16	1.000000000000000e+00	2
17	1.000000000000000e+00	10
18	1.000000000000000e+00	22
19	1.000000000000000e+00	2
20	1.000000000000000e+00	4
21	1.000000000000000e+00	16
22	1.000000000000000e+00	8
23	1.000000000000000e+00	12
24	1.000000000000000e+00	20
25	1.000000000000000e+00	2
26	1.000000000000000e+00	10
27	1.000000000000000e+00	24
28	1.000000000000000e+00	18
29	1.000000000000000e+00	4
30	1.000000000000000e+00	14
31	1.000000000000000e+00	8
32	1.000000000000000e+00	28
33	1.000000000000000e+00	4
34	1.000000000000000e+00	6
35	1.000000000000000e+00	10
36	1.000000000000000e+00	2
37	1.000000000000000e+00	34
38	1.000000000000000e+00	8
39	1.000000000000000e+00	2
40	1.000000000000000e+00	18
41	1.000000000000000e+00	8
42	1.000000000000000e+00	2
43	1.000000000000000e+00	2
44	1.000000000000000e+00	2
45	1.000000000000000e+00	6
46	1.000000000000000e+00	32
47	1.000000000000000e+00	4
48	1.000000000000000e+00	46
49	1.000000000000000e+00	4
50	1.000000000000000e+00	8
51	1.000000000000000e+00	6
52	1.000000000000000e+00	4
53	1.000000000000000e+00	6
54	1.000000000000000e+00	8
55	1.000000000000000e+00	2
56	1.000000000000000e+00	2
57	1.000000000000000e+00	14
58	1.000000000000000e+00	22
59	1.000000000000000e+00	4
60	1.000000000000000e+00	10
61	1.000000000000000e+00	4
62	1.000000000000000e+00	52
63	1.000000000000000e+00	12
64	1.000000000000000e+00	8
65	1.000000000000000e+00	32
66	1.000000000000000e+00	22
67	1.000000000000000e+00	10
68	1.000000000000000e+00	28
69	1.000000000000000e+00	14
70	1.000000000000000e+00	4
71	1.000000000000000e+00	8
72	1.000000000000000e+00	2
73	1.000000000000000e+00	10
74	1.000000000000000e+00	6
75	1.000000000000000e+00	10
76	1.000000000000000e+00	18
77	1.000000000000000e+00	2
78	1.000000000000000e+00	8
79	1.000000000000000e+00	14
80	1.000000000000000e+00	20
81	1.000000000000000e+00	14
82	1.000000000000000e+00	6
83	1.000000000000000e+00	10
84	1.000000000000000e+00	8
85	1.000000000000000e+00	26
86	1.000000000000000e+00	8
87	1.000000000000000e+00	4
88	1.000000000000000e+00	16
89	1.000000000000000e+00	42
90	1.000000000000000e+00	22
91	1.000000000000000e+00	4
92	1.000000000000000e+00	2
93	1.000000000000000e+00	4
94	1.000000000000000e+00	10
95	1.000000000000000e+00	2
96	1.000000000000000e+00	10
97	1.000000000000000e+00	10
98	1.000000000000000e+00	6
99	1.000000000000000e+00	4
100	1.000000000000000e+00	12
101	1.000000000000000e+00	20
102	1.000000000000000e+00	12
103	1.000000000000000e+00	10
104	1.000000000000000e+00	2
105	1.000000000000000e+00	26
106	1.000000000000000e+00	2
107	1.000000000000000e+00	12
108	1.000000000000000e+00	22
109	1.000000000000000e+00	6
110	1.000000000000000e+00	26
111	1.000000000000000e+00	10
112	1.000000000000000e+00	10
113	1.000000000000000e+00	10
114	1.000000000000000e+00	18
115	1.000000000000000e+00	22
116	1.000000000000000e+00	8
117	1.000000000000000e+00	16
118	1.000000000000000e+00	12
119	1.000000000000000e+00	2
120	1.000000000000000e+00	6
121	1.000000000000000e+00	12
122	1.000000000000000e+00	2
123	1.000000000000000e+00	8
124	1.000000000000000e+00	2
125	1.000000000000000e+00	2
126	1.000000000000000e+00	2
127	1.000000000000000e+00	26
128	1.000000000000000e+00	20
129	1.000000000000000e+00	18
130	1.000000000000000e+00	8
131	1.000000000000000e+00	30
132	1.000000000000000e+00	14
133	1.000000000000000e+00	12
134	1.000000000000000e+00	10
135	1.000000000000000e+00	10
136	1.000000000000000e+00	8
137	1.000000000000000e+00	10
138	1.000000000000000e+00	2
139	1.000000000000000e+00	14
140	1.000000000000000e+00	10
141	1.000000000000000e+00	4
142	1.000000000000000e+00	26
143	1.000000000000000e+00	12
144	1.000000000000000e+00	8
145	1.000000000000000e+00	22
146	1.000000000000000e+00	6
147	1.000000000000000e+00	22
148	1.000000000000000e+00	24
149	1.000000000000000e+00	2
150	1.000000000000000e+00	12
151	1.000000000000000e+00	2
152	1.000000000000000e+00	8
153	1.000000000000000e+00	8
154	1.000000000000000e+00	2
155	1.000000000000000e+00	4
156	1.000000000000000e+00	4
157	1.000000000000000e+00	24
158	1.000000000000000e+00	4
159	1.000000000000000e+00	20
160	1.000000000000000e+00	20
161	1.000000000000000e+00	12
162	1.000000000000000e+00	8
163	1.000000000000000e+00	8
164	1.000000000000000e+00	10
165	1.000000000000000e+00	4
166	1.000000000000000e+00	18
167	1.000000000000000e+00	8
168	1.000000000000000e+00	22
169	1.000000000000000e+00	2
170	1.000000000000000e+00	4
171	1.000000000000000e+00	4
172	1.000000000000000e+00	20
173	1.000000000000000e+00	6
174	1.000000000000000e+00	2
175	1.000000000000000e+00	10
176	1.000000000000000e+00	10
177	1.000000000000000e+00	20
178	1.000000000000000e+00	2
179	1.000000000000000e+00	18
180	1.000000000000000e+00	6
181	1.000000000000000e+00	12
182	1.000000000000000e+00	2
183	1.000000000000000e+00	12
184	1.000000000000000e+00	32
185	1.000000000000000e+00	2
186	1.000000000000000e+00	10
187	1.000000000000000e+00	8
188	1.000000000000000e+00	2
189	1.000000000000000e+00	16
190	1.000000000000000e+00	20
191	1.000000000000000e+00	4
192	1.000000000000000e+00	8
193	1.000000000000000e+00	28
194	1.000000000000000e+00	10
195	1.000000000000000e+00	20
196	1.000000000000000e+00	10
197	1.000000000000000e+00	16
198	1.000000000000000e+00	18
199	1.000000000000000e+00	8
200	1.000000000000000e+00	4
201	1.000000000000000e+00	12
202	1.000000000000000e+00	46
203	1.000000000000000e+00	20
204	1.000000000000000e+00	2
205	1.000000000000000e+00	8
206	1.000000000000000e+00	6
207	1.000000000000000e+00	10
208	1.000000000000000e+00	14
209	1.000000000000000e+00	4
210	1.000000000000000e+00	4
211	1.000000000000000e+00	6
212	1.000000000000000e+00	8
213	1.000000000000000e+00	6
214	1.000000000000000e+00	18
215	1.000000000000000e+00	4
216	1.000000000000000e+00	4
217	1.000000000000000e+00	14
218	1.000000000000000e+00	10
219	1.000000000000000e+00	22
220	1.000000000000000e+00	2
221	1.000000000000000e+00	2
222	1.000000000000000e+00	8
223	1.000000000000000e+00	8
224	1.000000000000000e+00	12
225	1.000000000000000e+00	4
226	1.000000000000000e+00	20
