Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	26
2	1.000000000000000e+00	2
3	1.000000000000000e+00	2
4	1.000000000000000e+00	4
5	1.000000000000000e+00	12
6	1.000000000000000e+00	26
7	1.000000000000000e+00	6
8	1.000000000000000e+00	6
9	1.000000000000000e+00	10
10	1.000000000000000e+00	12
11	1.000000000000000e+00	8
12	1.000000000000000e+00	14
13	1.000000000000000e+00	12
14	1.000000000000000e+00	8
15	1.000000000000000e+00	2
16	1.000000000000000e+00	2
17	1.000000000000000e+00	12
18	1.000000000000000e+00	10
19	1.000000000000000e+00	12
20	1.000000000000000e+00	4
21	1.000000000000000e+00	38
22	1.000000000000000e+00	8
23	1.000000000000000e+00	8
24	1.000000000000000e+00	4
25	1.000000000000000e+00	28
26	1.000000000000000e+00	2
27	1.000000000000000e+00	12
28	1.000000000000000e+00	4
29	1.000000000000000e+00	20
30	1.000000000000000e+00	8
31	1.000000000000000e+00	6
32	1.000000000000000e+00	2
33	1.000000000000000e+00	8
34	1.000000000000000e+00	20
35	1.000000000000000e+00	8
36	1.000000000000000e+00	12
37	1.000000000000000e+00	12
38	1.000000000000000e+00	12
39	1.000000000000000e+00	4
40	1.000000000000000e+00	4
41	1.000000000000000e+00	4
42	1.000000000000000e+00	20
43	1.000000000000000e+00	18
44	1.000000000000000e+00	28
45	1.000000000000000e+00	6
46	1.000000000000000e+00	4
47	1.000000000000000e+00	4
48	1.000000000000000e+00	6
49	1.000000000000000e+00	12
50	1.000000000000000e+00	16
51	1.000000000000000e+00	4
52	1.000000000000000e+00	18
53	1.000000000000000e+00	16
54	1.000000000000000e+00	4
55	1.000000000000000e+00	4
56	1.000000000000000e+00	8
57	1.000000000000000e+00	6
58	1.000000000000000e+00	6
59	1.000000000000000e+00	8
60	1.000000000000000e+00	16
61	1.000000000000000e+00	8
62	1.000000000000000e+00	14
63	1.000000000000000e+00	8
64	1.000000000000000e+00	14
65	1.000000000000000e+00	28
66	1.000000000000000e+00	8
67	1.000000000000000e+00	4
68	1.000000000000000e+00	14
