Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	10
2	1.000000000000000e+00	24
3	1.000000000000000e+00	4
4	1.000000000000000e+00	2
5	1.000000000000000e+00	6
6	1.000000000000000e+00	4
7	1.000000000000000e+00	38
8	1.000000000000000e+00	14
9	1.000000000000000e+00	14
10	1.000000000000000e+00	8
11	1.000000000000000e+00	10
12	1.000000000000000e+00	2
13	1.000000000000000e+00	6
14	1.000000000000000e+00	2
15	1.000000000000000e+00	14
16	1.000000000000000e+00	18
17	1.000000000000000e+00	2
18	1.000000000000000e+00	2
19	1.000000000000000e+00	4
20	1.000000000000000e+00	2
21	1.000000000000000e+00	8
22	1.000000000000000e+00	4
23	1.000000000000000e+00	4
24	1.000000000000000e+00	2
25	1.000000000000000e+00	46
26	1.000000000000000e+00	8
27	1.000000000000000e+00	4
28	1.000000000000000e+00	22
29	1.000000000000000e+00	2
30	1.000000000000000e+00	14
31	1.000000000000000e+00	12
32	1.000000000000000e+00	16
33	1.000000000000000e+00	8
34	1.000000000000000e+00	10
35	1.000000000000000e+00	4
36	1.000000000000000e+00	10
37	1.000000000000000e+00	24
38	1.000000000000000e+00	2
39	1.000000000000000e+00	2
40	1.000000000000000e+00	2
41	1.000000000000000e+00	4
42	1.000000000000000e+00	12
43	1.000000000000000e+00	8
44	1.000000000000000e+00	14
45	1.000000000000000e+00	10
46	1.000000000000000e+00	30
47	1.000000000000000e+00	16
48	1.000000000000000e+00	34
49	1.000000000000000e+00	26
50	1.000000000000000e+00	4
51	1.000000000000000e+00	22
52	1.000000000000000e+00	6
53	1.000000000000000e+00	20
54	1.000000000000000e+00	24
55	1.000000000000000e+00	14
56	1.000000000000000e+00	4
57	1.000000000000000e+00	2
58	1.000000000000000e+00	14
59	1.000000000000000e+00	4
60	1.000000000000000e+00	62
61	1.000000000000000e+00	16
62	1.000000000000000e+00	8
63	1.000000000000000e+00	4
64	1.000000000000000e+00	32
65	1.000000000000000e+00	8
66	1.000000000000000e+00	32
67	1.000000000000000e+00	4
68	1.000000000000000e+00	10
69	1.000000000000000e+00	16
70	1.000000000000000e+00	2
71	1.000000000000000e+00	4
72	1.000000000000000e+00	8
73	1.000000000000000e+00	8
74	1.000000000000000e+00	20
75	1.000000000000000e+00	14
76	1.000000000000000e+00	24
77	1.000000000000000e+00	20
78	1.000000000000000e+00	2
79	1.000000000000000e+00	12
80	1.000000000000000e+00	20
81	1.000000000000000e+00	6
82	1.000000000000000e+00	18
83	1.000000000000000e+00	34
84	1.000000000000000e+00	20
85	1.000000000000000e+00	4
86	1.000000000000000e+00	46
87	1.000000000000000e+00	18
88	1.000000000000000e+00	2
89	1.000000000000000e+00	22
90	1.000000000000000e+00	8
91	1.000000000000000e+00	34
92	1.000000000000000e+00	6
93	1.000000000000000e+00	2
94	1.000000000000000e+00	20
95	1.000000000000000e+00	22
96	1.000000000000000e+00	6
97	1.000000000000000e+00	12
98	1.000000000000000e+00	12
99	1.000000000000000e+00	24
100	1.000000000000000e+00	24
101	1.000000000000000e+00	2
102	1.000000000000000e+00	30
103	1.000000000000000e+00	26
104	1.000000000000000e+00	10
105	1.000000000000000e+00	2
106	1.000000000000000e+00	12
107	1.000000000000000e+00	12
108	1.000000000000000e+00	4
109	1.000000000000000e+00	8
110	1.000000000000000e+00	10
111	1.000000000000000e+00	2
112	1.000000000000000e+00	6
113	1.000000000000000e+00	18
114	1.000000000000000e+00	20
115	1.000000000000000e+00	12
116	1.000000000000000e+00	4
117	1.000000000000000e+00	2
118	1.000000000000000e+00	2
119	1.000000000000000e+00	6
120	1.000000000000000e+00	14
121	1.000000000000000e+00	2
122	1.000000000000000e+00	4
123	1.000000000000000e+00	22
124	1.000000000000000e+00	2
125	1.000000000000000e+00	10
126	1.000000000000000e+00	6
127	1.000000000000000e+00	10
128	1.000000000000000e+00	2
129	1.000000000000000e+00	6
130	1.000000000000000e+00	10
131	1.000000000000000e+00	14
132	1.000000000000000e+00	4
133	1.000000000000000e+00	22
134	1.000000000000000e+00	24
135	1.000000000000000e+00	8
136	1.000000000000000e+00	6
137	1.000000000000000e+00	4
138	1.000000000000000e+00	8
139	1.000000000000000e+00	10
140	1.000000000000000e+00	24
141	1.000000000000000e+00	4
142	1.000000000000000e+00	10
143	1.000000000000000e+00	12
144	1.000000000000000e+00	4
145	1.000000000000000e+00	10
146	1.000000000000000e+00	4
147	1.000000000000000e+00	14
148	1.000000000000000e+00	22
149	1.000000000000000e+00	6
150	1.000000000000000e+00	16
151	1.000000000000000e+00	6
152	1.000000000000000e+00	18
153	1.000000000000000e+00	20
154	1.000000000000000e+00	6
155	1.000000000000000e+00	20
156	1.000000000000000e+00	2
157	1.000000000000000e+00	12
158	1.000000000000000e+00	38
159	1.000000000000000e+00	4
160	1.000000000000000e+00	4
161	1.000000000000000e+00	8
162	1.000000000000000e+00	4
163	1.000000000000000e+00	26
164	1.000000000000000e+00	12
165	1.000000000000000e+00	14
166	1.000000000000000e+00	4
167	1.000000000000000e+00	16
168	1.000000000000000e+00	14
169	1.000000000000000e+00	6
170	1.000000000000000e+00	6
171	1.000000000000000e+00	6
172	1.000000000000000e+00	18
173	1.000000000000000e+00	28
174	1.000000000000000e+00	12
175	1.000000000000000e+00	2
176	1.000000000000000e+00	16
177	1.000000000000000e+00	10
178	1.000000000000000e+00	16
179	1.000000000000000e+00	18
180	1.000000000000000e+00	10
181	1.000000000000000e+00	4
182	1.000000000000000e+00	8
183	1.000000000000000e+00	22
184	1.000000000000000e+00	6
185	1.000000000000000e+00	10
186	1.000000000000000e+00	4
187	1.000000000000000e+00	2
188	1.000000000000000e+00	8
189	1.000000000000000e+00	16
190	1.000000000000000e+00	6
191	1.000000000000000e+00	22
192	1.000000000000000e+00	30
193	1.000000000000000e+00	36
194	1.000000000000000e+00	12
195	1.000000000000000e+00	6
196	1.000000000000000e+00	18
197	1.000000000000000e+00	12
198	1.000000000000000e+00	28
199	1.000000000000000e+00	14
200	1.000000000000000e+00	6
201	1.000000000000000e+00	4
202	1.000000000000000e+00	16
203	1.000000000000000e+00	8
204	1.000000000000000e+00	18
205	1.000000000000000e+00	18
206	1.000000000000000e+00	4
207	1.000000000000000e+00	16
208	1.000000000000000e+00	8
209	1.000000000000000e+00	14
210	1.000000000000000e+00	4
211	1.000000000000000e+00	12
212	1.000000000000000e+00	18
213	1.000000000000000e+00	8
214	1.000000000000000e+00	16
215	1.000000000000000e+00	16
216	1.000000000000000e+00	32
217	1.000000000000000e+00	14
218	1.000000000000000e+00	52
219	1.000000000000000e+00	2
220	1.000000000000000e+00	12
221	1.000000000000000e+00	4
222	1.000000000000000e+00	20
223	1.000000000000000e+00	8
224	1.000000000000000e+00	8
225	1.000000000000000e+00	6
226	1.000000000000000e+00	6
227	1.000000000000000e+00	10
228	1.000000000000000e+00	2
229	1.000000000000000e+00	22
230	1.000000000000000e+00	2
