Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	16
2	1.000000000000000e+00	4
3	1.000000000000000e+00	2
4	1.000000000000000e+00	10
5	1.000000000000000e+00	6
6	1.000000000000000e+00	10
7	1.000000000000000e+00	2
8	1.000000000000000e+00	6
9	1.000000000000000e+00	26
10	1.000000000000000e+00	38
11	1.000000000000000e+00	8
12	1.000000000000000e+00	4
13	1.000000000000000e+00	22
14	1.000000000000000e+00	10
15	1.000000000000000e+00	28
16	1.000000000000000e+00	6
17	1.000000000000000e+00	16
18	1.000000000000000e+00	4
19	1.000000000000000e+00	6
20	1.000000000000000e+00	18
21	1.000000000000000e+00	34
22	1.000000000000000e+00	6
23	1.000000000000000e+00	14
24	1.000000000000000e+00	6
25	1.000000000000000e+00	10
26	1.000000000000000e+00	18
27	1.000000000000000e+00	28
28	1.000000000000000e+00	2
29	1.000000000000000e+00	8
30	1.000000000000000e+00	18
31	1.000000000000000e+00	6
32	1.000000000000000e+00	40
33	1.000000000000000e+00	8
34	1.000000000000000e+00	8
35	1.000000000000000e+00	12
36	1.000000000000000e+00	10
37	1.000000000000000e+00	18
38	1.000000000000000e+00	8
39	1.000000000000000e+00	6
40	1.000000000000000e+00	2
41	1.000000000000000e+00	28
42	1.000000000000000e+00	2
43	1.000000000000000e+00	28
44	1.000000000000000e+00	16
45	1.000000000000000e+00	24
46	1.000000000000000e+00	14
47	1.000000000000000e+00	6
48	1.000000000000000e+00	20
49	1.000000000000000e+00	26
50	1.000000000000000e+00	6
51	1.000000000000000e+00	24
52	1.000000000000000e+00	12
53	1.000000000000000e+00	4
54	1.000000000000000e+00	18
55	1.000000000000000e+00	20
56	1.000000000000000e+00	10
57	1.000000000000000e+00	16
58	1.000000000000000e+00	24
59	1.000000000000000e+00	6
60	1.000000000000000e+00	16
61	1.000000000000000e+00	34
62	1.000000000000000e+00	30
63	1.000000000000000e+00	14
64	1.000000000000000e+00	22
65	1.000000000000000e+00	18
66	1.000000000000000e+00	8
67	1.000000000000000e+00	6
68	1.000000000000000e+00	10
69	1.000000000000000e+00	2
70	1.000000000000000e+00	12
71	1.000000000000000e+00	22
72	1.000000000000000e+00	22
73	1.000000000000000e+00	8
74	1.000000000000000e+00	2
75	1.000000000000000e+00	2
76	1.000000000000000e+00	6
77	1.000000000000000e+00	6
78	1.000000000000000e+00	10
79	1.000000000000000e+00	24
80	1.000000000000000e+00	14
81	1.000000000000000e+00	8
82	1.000000000000000e+00	8
83	1.000000000000000e+00	12
84	1.000000000000000e+00	2
85	1.000000000000000e+00	16
86	1.000000000000000e+00	20
87	1.000000000000000e+00	10
88	1.000000000000000e+00	2
89	1.000000000000000e+00	2
90	1.000000000000000e+00	14
91	1.000000000000000e+00	6
92	1.000000000000000e+00	4
93	1.000000000000000e+00	26
94	1.000000000000000e+00	8
95	1.000000000000000e+00	30
96	1.000000000000000e+00	38
97	1.000000000000000e+00	20
98	1.000000000000000e+00	16
99	1.000000000000000e+00	4
100	1.000000000000000e+00	18
101	1.000000000000000e+00	6
102	1.000000000000000e+00	6
103	1.000000000000000e+00	14
104	1.000000000000000e+00	2
105	1.000000000000000e+00	6
106	1.000000000000000e+00	8
107	1.000000000000000e+00	18
108	1.000000000000000e+00	10
109	1.000000000000000e+00	10
110	1.000000000000000e+00	8
111	1.000000000000000e+00	14
112	1.000000000000000e+00	18
113	1.000000000000000e+00	4
114	1.000000000000000e+00	4
115	1.000000000000000e+00	4
116	1.000000000000000e+00	12
117	1.000000000000000e+00	2
118	1.000000000000000e+00	6
119	1.000000000000000e+00	14
120	1.000000000000000e+00	24
121	1.000000000000000e+00	14
122	1.000000000000000e+00	4
123	1.000000000000000e+00	4
124	1.000000000000000e+00	12
125	1.000000000000000e+00	14
126	1.000000000000000e+00	2
127	1.000000000000000e+00	22
128	1.000000000000000e+00	18
129	1.000000000000000e+00	12
130	1.000000000000000e+00	16
131	1.000000000000000e+00	40
132	1.000000000000000e+00	30
133	1.000000000000000e+00	8
134	1.000000000000000e+00	8
135	1.000000000000000e+00	30
136	1.000000000000000e+00	22
137	1.000000000000000e+00	14
138	1.000000000000000e+00	20
139	1.000000000000000e+00	12
140	1.000000000000000e+00	40
141	1.000000000000000e+00	4
142	1.000000000000000e+00	32
143	1.000000000000000e+00	38
144	1.000000000000000e+00	4
145	1.000000000000000e+00	60
146	1.000000000000000e+00	10
147	1.000000000000000e+00	6
148	1.000000000000000e+00	16
149	1.000000000000000e+00	8
150	1.000000000000000e+00	6
151	1.000000000000000e+00	4
152	1.000000000000000e+00	6
153	1.000000000000000e+00	6
154	1.000000000000000e+00	12
155	1.000000000000000e+00	2
156	1.000000000000000e+00	10
157	1.000000000000000e+00	14
158	1.000000000000000e+00	6
159	1.000000000000000e+00	4
160	1.000000000000000e+00	14
161	1.000000000000000e+00	10
162	1.000000000000000e+00	6
163	1.000000000000000e+00	4
164	1.000000000000000e+00	2
165	1.000000000000000e+00	10
166	1.000000000000000e+00	12
167	1.000000000000000e+00	8
168	1.000000000000000e+00	6
169	1.000000000000000e+00	6
170	1.000000000000000e+00	22
171	1.000000000000000e+00	14
172	1.000000000000000e+00	2
173	1.000000000000000e+00	12
174	1.000000000000000e+00	18
175	1.000000000000000e+00	26
176	1.000000000000000e+00	28
177	1.000000000000000e+00	6
178	1.000000000000000e+00	10
179	1.000000000000000e+00	8
180	1.000000000000000e+00	14
181	1.000000000000000e+00	24
182	1.000000000000000e+00	10
183	1.000000000000000e+00	6
184	1.000000000000000e+00	10
185	1.000000000000000e+00	14
186	1.000000000000000e+00	26
187	1.000000000000000e+00	22
188	1.000000000000000e+00	6
189	1.000000000000000e+00	2
190	1.000000000000000e+00	16
191	1.000000000000000e+00	14
192	1.000000000000000e+00	8
193	1.000000000000000e+00	6
194	1.000000000000000e+00	4
195	1.000000000000000e+00	8
196	1.000000000000000e+00	10
197	1.000000000000000e+00	12
198	1.000000000000000e+00	2
199	1.000000000000000e+00	12
200	1.000000000000000e+00	24
201	1.000000000000000e+00	4
202	1.000000000000000e+00	6
203	1.000000000000000e+00	4
204	1.000000000000000e+00	18
205	1.000000000000000e+00	18
206	1.000000000000000e+00	4
207	1.000000000000000e+00	10
208	1.000000000000000e+00	12
209	1.000000000000000e+00	16
210	1.000000000000000e+00	10
211	1.000000000000000e+00	10
212	1.000000000000000e+00	4
213	1.000000000000000e+00	26
214	1.000000000000000e+00	20
215	1.000000000000000e+00	2
216	1.000000000000000e+00	10
217	1.000000000000000e+00	8
218	1.000000000000000e+00	4
219	1.000000000000000e+00	6
220	1.000000000000000e+00	2
221	1.000000000000000e+00	32
222	1.000000000000000e+00	2
223	1.000000000000000e+00	14
224	1.000000000000000e+00	6
225	1.000000000000000e+00	2
226	1.000000000000000e+00	4
227	1.000000000000000e+00	32
228	1.000000000000000e+00	16
229	1.000000000000000e+00	6
230	1.000000000000000e+00	42
231	1.000000000000000e+00	30
232	1.000000000000000e+00	8
233	1.000000000000000e+00	2
234	1.000000000000000e+00	6
235	1.000000000000000e+00	10
236	1.000000000000000e+00	10
237	1.000000000000000e+00	12
238	1.000000000000000e+00	30
