Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	2
2	1.000000000000000e+00	4
3	1.000000000000000e+00	6
4	1.000000000000000e+00	4
5	1.000000000000000e+00	2
6	1.000000000000000e+00	22
7	1.000000000000000e+00	6
8	1.000000000000000e+00	12
9	1.000000000000000e+00	14
10	1.000000000000000e+00	10
11	1.000000000000000e+00	36
12	1.000000000000000e+00	10
13	1.000000000000000e+00	8
14	1.000000000000000e+00	26
15	1.000000000000000e+00	18
16	1.000000000000000e+00	16
17	1.000000000000000e+00	6
18	1.000000000000000e+00	12
19	1.000000000000000e+00	4
20	1.000000000000000e+00	6
21	1.000000000000000e+00	2
22	1.000000000000000e+00	14
23	1.000000000000000e+00	16
24	1.000000000000000e+00	6
25	1.000000000000000e+00	10
26	1.000000000000000e+00	10
27	1.000000000000000e+00	26
28	1.000000000000000e+00	24
29	1.000000000000000e+00	10
30	1.000000000000000e+00	2
31	1.000000000000000e+00	30
32	1.000000000000000e+00	8
33	1.000000000000000e+00	4
34	1.000000000000000e+00	20
35	1.000000000000000e+00	8
36	1.000000000000000e+00	8
37	1.000000000000000e+00	12
38	1.000000000000000e+00	10
39	1.000000000000000e+00	8
40	1.000000000000000e+00	8
41	1.000000000000000e+00	6
42	1.000000000000000e+00	16
43	1.000000000000000e+00	8
44	1.000000000000000e+00	8
45	1.000000000000000e+00	4
46	1.000000000000000e+00	10
47	1.000000000000000e+00	20
48	1.000000000000000e+00	8
49	1.000000000000000e+00	4
50	1.000000000000000e+00	10
51	1.000000000000000e+00	20
52	1.000000000000000e+00	28
53	1.000000000000000e+00	10
54	1.000000000000000e+00	2
55	1.000000000000000e+00	18
56	1.000000000000000e+00	4
57	1.000000000000000e+00	14
58	1.000000000000000e+00	4
59	1.000000000000000e+00	6
60	1.000000000000000e+00	2
61	1.000000000000000e+00	6
62	1.000000000000000e+00	8
63	1.000000000000000e+00	12
64	1.000000000000000e+00	4
65	1.000000000000000e+00	20
66	1.000000000000000e+00	22
67	1.000000000000000e+00	2
68	1.000000000000000e+00	16
69	1.000000000000000e+00	18
70	1.000000000000000e+00	32
71	1.000000000000000e+00	2
72	1.000000000000000e+00	8
73	1.000000000000000e+00	8
74	1.000000000000000e+00	4
75	1.000000000000000e+00	12
76	1.000000000000000e+00	6
77	1.000000000000000e+00	22
78	1.000000000000000e+00	2
79	1.000000000000000e+00	18
80	1.000000000000000e+00	10
81	1.000000000000000e+00	10
82	1.000000000000000e+00	6
83	1.000000000000000e+00	12
84	1.000000000000000e+00	10
85	1.000000000000000e+00	2
86	1.000000000000000e+00	20
87	1.000000000000000e+00	10
88	1.000000000000000e+00	12
89	1.000000000000000e+00	6
90	1.000000000000000e+00	2
91	1.000000000000000e+00	6
92	1.000000000000000e+00	6
93	1.000000000000000e+00	2
94	1.000000000000000e+00	12
95	1.000000000000000e+00	6
