Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	4
2	1.000000000000000e+00	2
3	1.000000000000000e+00	8
4	1.000000000000000e+00	24
5	1.000000000000000e+00	8
6	1.000000000000000e+00	14
7	1.000000000000000e+00	46
8	1.000000000000000e+00	4
9	1.000000000000000e+00	4
10	1.000000000000000e+00	14
11	1.000000000000000e+00	2
12	1.000000000000000e+00	8
13	1.000000000000000e+00	6
14	1.000000000000000e+00	10
15	1.000000000000000e+00	20
16	1.000000000000000e+00	28
17	1.000000000000000e+00	14
18	1.000000000000000e+00	2
19	1.000000000000000e+00	6
20	1.000000000000000e+00	6
21	1.000000000000000e+00	4
22	1.000000000000000e+00	18
23	1.000000000000000e+00	4
24	1.000000000000000e+00	30
25	1.000000000000000e+00	18
26	1.000000000000000e+00	2
27	1.000000000000000e+00	12
28	1.000000000000000e+00	8
29	1.000000000000000e+00	8
30	1.000000000000000e+00	6
31	1.000000000000000e+00	8
32	1.000000000000000e+00	2
33	1.000000000000000e+00	12
34	1.000000000000000e+00	8
35	1.000000000000000e+00	12
36	1.000000000000000e+00	26
37	1.000000000000000e+00	26
38	1.000000000000000e+00	6
39	1.000000000000000e+00	12
40	1.000000000000000e+00	4
41	1.000000000000000e+00	2
42	1.000000000000000e+00	4
43	1.000000000000000e+00	2
44	1.000000000000000e+00	14
45	1.000000000000000e+00	6
46	1.000000000000000e+00	8
47	1.000000000000000e+00	40
48	1.000000000000000e+00	22
49	1.000000000000000e+00	20
50	1.000000000000000e+00	2
51	1.000000000000000e+00	2
52	1.000000000000000e+00	8
53	1.000000000000000e+00	14
54	1.000000000000000e+00	2
55	1.000000000000000e+00	2
56	1.000000000000000e+00	2
57	1.000000000000000e+00	8
58	1.000000000000000e+00	2
59	1.000000000000000e+00	2
60	1.000000000000000e+00	4
61	1.000000000000000e+00	10
62	1.000000000000000e+00	12
63	1.000000000000000e+00	22
64	1.000000000000000e+00	18
65	1.000000000000000e+00	4
66	1.000000000000000e+00	16
67	1.000000000000000e+00	6
68	1.000000000000000e+00	22
69	1.000000000000000e+00	16
70	1.000000000000000e+00	16
71	1.000000000000000e+00	26
72	1.000000000000000e+00	26
73	1.000000000000000e+00	14
74	1.000000000000000e+00	6
75	1.000000000000000e+00	2
76	1.000000000000000e+00	2
77	1.000000000000000e+00	2
78	1.000000000000000e+00	26
79	1.000000000000000e+00	6
80	1.000000000000000e+00	6
81	1.000000000000000e+00	8
82	1.000000000000000e+00	14
83	1.000000000000000e+00	20
84	1.000000000000000e+00	38
85	1.000000000000000e+00	4
86	1.000000000000000e+00	18
87	1.000000000000000e+00	20
88	1.000000000000000e+00	8
89	1.000000000000000e+00	24
90	1.000000000000000e+00	8
91	1.000000000000000e+00	28
92	1.000000000000000e+00	14
93	1.000000000000000e+00	10
94	1.000000000000000e+00	6
95	1.000000000000000e+00	22
96	1.000000000000000e+00	2
97	1.000000000000000e+00	44
98	1.000000000000000e+00	12
99	1.000000000000000e+00	2
100	1.000000000000000e+00	18
101	1.000000000000000e+00	6
102	1.000000000000000e+00	10
103	1.000000000000000e+00	2
104	1.000000000000000e+00	14
105	1.000000000000000e+00	4
106	1.000000000000000e+00	6
107	1.000000000000000e+00	36
108	1.000000000000000e+00	12
109	1.000000000000000e+00	4
110	1.000000000000000e+00	24
111	1.000000000000000e+00	8
112	1.000000000000000e+00	14
113	1.000000000000000e+00	26
114	1.000000000000000e+00	6
115	1.000000000000000e+00	6
116	1.000000000000000e+00	2
117	1.000000000000000e+00	12
118	1.000000000000000e+00	6
119	1.000000000000000e+00	20
120	1.000000000000000e+00	6
121	1.000000000000000e+00	30
122	1.000000000000000e+00	14
123	1.000000000000000e+00	18
124	1.000000000000000e+00	42
125	1.000000000000000e+00	4
126	1.000000000000000e+00	20
127	1.000000000000000e+00	4
128	1.000000000000000e+00	2
129	1.000000000000000e+00	26
130	1.000000000000000e+00	12
131	1.000000000000000e+00	38
132	1.000000000000000e+00	8
133	1.000000000000000e+00	8
134	1.000000000000000e+00	8
135	1.000000000000000e+00	16
136	1.000000000000000e+00	18
137	1.000000000000000e+00	22
138	1.000000000000000e+00	2
139	1.000000000000000e+00	16
140	1.000000000000000e+00	32
141	1.000000000000000e+00	24
142	1.000000000000000e+00	40
143	1.000000000000000e+00	26
144	1.000000000000000e+00	8
145	1.000000000000000e+00	2
146	1.000000000000000e+00	16
147	1.000000000000000e+00	18
148	1.000000000000000e+00	20
149	1.000000000000000e+00	20
150	1.000000000000000e+00	4
151	1.000000000000000e+00	14
152	1.000000000000000e+00	6
153	1.000000000000000e+00	14
154	1.000000000000000e+00	16
155	1.000000000000000e+00	4
156	1.000000000000000e+00	2
157	1.000000000000000e+00	10
158	1.000000000000000e+00	24
159	1.000000000000000e+00	6
160	1.000000000000000e+00	6
161	1.000000000000000e+00	34
162	1.000000000000000e+00	16
163	1.000000000000000e+00	22
164	1.000000000000000e+00	12
165	1.000000000000000e+00	18
166	1.000000000000000e+00	40
167	1.000000000000000e+00	16
168	1.000000000000000e+00	4
169	1.000000000000000e+00	2
170	1.000000000000000e+00	2
171	1.000000000000000e+00	18
172	1.000000000000000e+00	10
173	1.000000000000000e+00	6
174	1.000000000000000e+00	10
175	1.000000000000000e+00	14
176	1.000000000000000e+00	10
177	1.000000000000000e+00	2
178	1.000000000000000e+00	18
179	1.000000000000000e+00	30
180	1.000000000000000e+00	8
181	1.000000000000000e+00	4
182	1.000000000000000e+00	20
183	1.000000000000000e+00	26
184	1.000000000000000e+00	12
185	1.000000000000000e+00	42
186	1.000000000000000e+00	30
187	1.000000000000000e+00	8
188	1.000000000000000e+00	22
189	1.000000000000000e+00	8
190	1.000000000000000e+00	6
191	1.000000000000000e+00	16
192	1.000000000000000e+00	22
193	1.000000000000000e+00	20
194	1.000000000000000e+00	8
195	1.000000000000000e+00	12
196	1.000000000000000e+00	38
197	1.000000000000000e+00	10
198	1.000000000000000e+00	16
199	1.000000000000000e+00	6
200	1.000000000000000e+00	26
201	1.000000000000000e+00	36
202	1.000000000000000e+00	10
203	1.000000000000000e+00	12
204	1.000000000000000e+00	8
205	1.000000000000000e+00	4
206	1.000000000000000e+00	36
207	1.000000000000000e+00	10
208	1.000000000000000e+00	16
209	1.000000000000000e+00	22
210	1.000000000000000e+00	4
211	1.000000000000000e+00	18
212	1.000000000000000e+00	10
213	1.000000000000000e+00	12
214	1.000000000000000e+00	4
215	1.000000000000000e+00	40
216	1.000000000000000e+00	26
217	1.000000000000000e+00	12
218	1.000000000000000e+00	10
219	1.000000000000000e+00	4
220	1.000000000000000e+00	6
221	1.000000000000000e+00	10
222	1.000000000000000e+00	16
223	1.000000000000000e+00	4
224	1.000000000000000e+00	26
225	1.000000000000000e+00	6
226	1.000000000000000e+00	16
