Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	40
2	1.000000000000000e+00	20
3	1.000000000000000e+00	20
4	1.000000000000000e+00	60
5	1.000000000000000e+00	40
6	1.000000000000000e+00	20
7	1.000000000000000e+00	40
8	1.000000000000000e+00	20
9	1.000000000000000e+00	80
10	1.000000000000000e+00	120
11	1.000000000000000e+00	20
12	1.000000000000000e+00	20
13	1.000000000000000e+00	120
14	1.000000000000000e+00	80
15	1.000000000000000e+00	40
16	1.000000000000000e+00	40
17	1.000000000000000e+00	160
18	1.000000000000000e+00	20
19	1.000000000000000e+00	20
20	1.000000000000000e+00	220
21	1.000000000000000e+00	20
22	1.000000000000000e+00	20
23	1.000000000000000e+00	20
24	1.000000000000000e+00	20
25	1.000000000000000e+00	20
26	1.000000000000000e+00	20
27	1.000000000000000e+00	20
28	1.000000000000000e+00	20
29	1.000000000000000e+00	20
30	1.000000000000000e+00	60
31	1.000000000000000e+00	40
32	1.000000000000000e+00	20
33	1.000000000000000e+00	20
34	1.000000000000000e+00	20
35	1.000000000000000e+00	20
36	1.000000000000000e+00	20
37	1.000000000000000e+00	20
38	1.000000000000000e+00	60
39	1.000000000000000e+00	20
40	1.000000000000000e+00	20
41	1.000000000000000e+00	40
42	1.000000000000000e+00	20
43	1.000000000000000e+00	20
44	1.000000000000000e+00	20
45	1.000000000000000e+00	20
46	1.000000000000000e+00	20
47	1.000000000000000e+00	40
48	1.000000000000000e+00	60
49	1.000000000000000e+00	20
50	1.000000000000000e+00	20
51	1.000000000000000e+00	80
52	1.000000000000000e+00	20
53	1.000000000000000e+00	20
54	1.000000000000000e+00	100
55	1.000000000000000e+00	20
56	1.000000000000000e+00	100
57	1.000000000000000e+00	80
58	1.000000000000000e+00	20
59	1.000000000000000e+00	20
60	1.000000000000000e+00	20
61	1.000000000000000e+00	60
62	1.000000000000000e+00	80
63	1.000000000000000e+00	20
64	1.000000000000000e+00	20
65	1.000000000000000e+00	20
66	1.000000000000000e+00	20
67	1.000000000000000e+00	20
68	1.000000000000000e+00	60
69	1.000000000000000e+00	40
70	1.000000000000000e+00	20
71	1.000000000000000e+00	40
72	1.000000000000000e+00	60
73	1.000000000000000e+00	80
74	1.000000000000000e+00	20
75	1.000000000000000e+00	20
76	1.000000000000000e+00	100
77	1.000000000000000e+00	60
78	1.000000000000000e+00	80
79	1.000000000000000e+00	20
80	1.000000000000000e+00	80
81	1.000000000000000e+00	40
82	1.000000000000000e+00	40
83	1.000000000000000e+00	20
84	1.000000000000000e+00	20
85	1.000000000000000e+00	20
86	1.000000000000000e+00	20
87	1.000000000000000e+00	80
88	1.000000000000000e+00	20
89	1.000000000000000e+00	60
90	1.000000000000000e+00	80
91	1.000000000000000e+00	20
92	1.000000000000000e+00	20
93	1.000000000000000e+00	120
94	1.000000000000000e+00	20
95	1.000000000000000e+00	20
96	1.000000000000000e+00	20
97	1.000000000000000e+00	20
98	1.000000000000000e+00	20
99	1.000000000000000e+00	40
100	1.000000000000000e+00	20
101	1.000000000000000e+00	20
102	1.000000000000000e+00	20
103	1.000000000000000e+00	60
104	1.000000000000000e+00	100
105	1.000000000000000e+00	20
106	1.000000000000000e+00	160
107	1.000000000000000e+00	20
108	1.000000000000000e+00	20
109	1.000000000000000e+00	20
110	1.000000000000000e+00	20
111	1.000000000000000e+00	100
112	1.000000000000000e+00	20
113	1.000000000000000e+00	20
114	1.000000000000000e+00	20
115	1.000000000000000e+00	40
116	1.000000000000000e+00	60
117	1.000000000000000e+00	80
118	1.000000000000000e+00	40
119	1.000000000000000e+00	20
120	1.000000000000000e+00	20
121	1.000000000000000e+00	40
122	1.000000000000000e+00	20
123	1.000000000000000e+00	100
124	1.000000000000000e+00	20
125	1.000000000000000e+00	60
126	1.000000000000000e+00	180
127	1.000000000000000e+00	20
128	1.000000000000000e+00	20
129	1.000000000000000e+00	40
130	1.000000000000000e+00	20
131	1.000000000000000e+00	40
132	1.000000000000000e+00	20
133	1.000000000000000e+00	160
134	1.000000000000000e+00	20
135	1.000000000000000e+00	20
136	1.000000000000000e+00	20
137	1.000000000000000e+00	20
138	1.000000000000000e+00	20
139	1.000000000000000e+00	40
140	1.000000000000000e+00	20
141	1.000000000000000e+00	80
142	1.000000000000000e+00	40
143	1.000000000000000e+00	100
144	1.000000000000000e+00	140
145	1.000000000000000e+00	40
146	1.000000000000000e+00	20
147	1.000000000000000e+00	20
148	1.000000000000000e+00	20
149	1.000000000000000e+00	20
150	1.000000000000000e+00	20
151	1.000000000000000e+00	140
152	1.000000000000000e+00	60
153	1.000000000000000e+00	20
154	1.000000000000000e+00	60
155	1.000000000000000e+00	20
156	1.000000000000000e+00	20
157	1.000000000000000e+00	60
158	1.000000000000000e+00	20
159	1.000000000000000e+00	40
160	1.000000000000000e+00	20
161	1.000000000000000e+00	20
162	1.000000000000000e+00	20
163	1.000000000000000e+00	60
164	1.000000000000000e+00	60
165	1.000000000000000e+00	20
166	1.000000000000000e+00	20
167	1.000000000000000e+00	20
168	1.000000000000000e+00	80
169	1.000000000000000e+00	20
170	1.000000000000000e+00	20
171	1.000000000000000e+00	20
172	1.000000000000000e+00	20
173	1.000000000000000e+00	40
174	1.000000000000000e+00	20
175	1.000000000000000e+00	60
176	1.000000000000000e+00	20
177	1.000000000000000e+00	20
178	1.000000000000000e+00	60
179	1.000000000000000e+00	40
180	1.000000000000000e+00	20
181	1.000000000000000e+00	20
182	1.000000000000000e+00	20
183	1.000000000000000e+00	20
184	1.000000000000000e+00	140
185	1.000000000000000e+00	20
186	1.000000000000000e+00	20
187	1.000000000000000e+00	40
188	1.000000000000000e+00	40
189	1.000000000000000e+00	40
190	1.000000000000000e+00	20
191	1.000000000000000e+00	40
192	1.000000000000000e+00	40
193	1.000000000000000e+00	20
194	1.000000000000000e+00	100
195	1.000000000000000e+00	60
196	1.000000000000000e+00	20
197	1.000000000000000e+00	60
198	1.000000000000000e+00	20
199	1.000000000000000e+00	40
200	1.000000000000000e+00	120
201	1.000000000000000e+00	20
202	1.000000000000000e+00	60
203	1.000000000000000e+00	40
204	1.000000000000000e+00	20
205	1.000000000000000e+00	80
206	1.000000000000000e+00	80
207	1.000000000000000e+00	40
208	1.000000000000000e+00	40
209	1.000000000000000e+00	20
210	1.000000000000000e+00	100
211	1.000000000000000e+00	100
212	1.000000000000000e+00	20
213	1.000000000000000e+00	20
214	1.000000000000000e+00	20
215	1.000000000000000e+00	20
216	1.000000000000000e+00	20
217	1.000000000000000e+00	40
218	1.000000000000000e+00	20
219	1.000000000000000e+00	20
220	1.000000000000000e+00	20
221	1.000000000000000e+00	311
222	1.000000000000000e+00	20
223	1.000000000000000e+00	40
224	1.000000000000000e+00	40
225	1.000000000000000e+00	20
226	1.000000000000000e+00	80
227	1.000000000000000e+00	20
228	1.000000000000000e+00	40
229	1.000000000000000e+00	20
230	1.000000000000000e+00	40
231	1.000000000000000e+00	40
232	1.000000000000000e+00	40
233	1.000000000000000e+00	20
234	1.000000000000000e+00	20
