Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	14
2	1.000000000000000e+00	8
3	1.000000000000000e+00	16
4	1.000000000000000e+00	8
5	1.000000000000000e+00	10
6	1.000000000000000e+00	14
7	1.000000000000000e+00	6
8	1.000000000000000e+00	10
9	1.000000000000000e+00	16
10	1.000000000000000e+00	14
11	1.000000000000000e+00	8
12	1.000000000000000e+00	4
13	1.000000000000000e+00	8
14	1.000000000000000e+00	2
15	1.000000000000000e+00	8
16	1.000000000000000e+00	24
17	1.000000000000000e+00	16
18	1.000000000000000e+00	14
19	1.000000000000000e+00	4
20	1.000000000000000e+00	10
21	1.000000000000000e+00	28
22	1.000000000000000e+00	48
23	1.000000000000000e+00	14
24	1.000000000000000e+00	34
25	1.000000000000000e+00	6
26	1.000000000000000e+00	20
27	1.000000000000000e+00	4
28	1.000000000000000e+00	2
29	1.000000000000000e+00	32
30	1.000000000000000e+00	10
31	1.000000000000000e+00	6
32	1.000000000000000e+00	8
33	1.000000000000000e+00	14
34	1.000000000000000e+00	4
35	1.000000000000000e+00	12
36	1.000000000000000e+00	14
37	1.000000000000000e+00	56
38	1.000000000000000e+00	2
39	1.000000000000000e+00	6
40	1.000000000000000e+00	60
41	1.000000000000000e+00	48
42	1.000000000000000e+00	14
43	1.000000000000000e+00	2
44	1.000000000000000e+00	10
45	1.000000000000000e+00	8
46	1.000000000000000e+00	10
47	1.000000000000000e+00	24
48	1.000000000000000e+00	12
49	1.000000000000000e+00	12
50	1.000000000000000e+00	2
51	1.000000000000000e+00	26
52	1.000000000000000e+00	4
53	1.000000000000000e+00	12
54	1.000000000000000e+00	16
55	1.000000000000000e+00	26
56	1.000000000000000e+00	24
57	1.000000000000000e+00	12
58	1.000000000000000e+00	22
59	1.000000000000000e+00	32
60	1.000000000000000e+00	4
61	1.000000000000000e+00	2
62	1.000000000000000e+00	22
63	1.000000000000000e+00	12
64	1.000000000000000e+00	4
65	1.000000000000000e+00	6
66	1.000000000000000e+00	28
67	1.000000000000000e+00	10
68	1.000000000000000e+00	2
69	1.000000000000000e+00	8
70	1.000000000000000e+00	6
71	1.000000000000000e+00	10
72	1.000000000000000e+00	16
73	1.000000000000000e+00	8
74	1.000000000000000e+00	10
75	1.000000000000000e+00	30
76	1.000000000000000e+00	6
77	1.000000000000000e+00	10
78	1.000000000000000e+00	2
79	1.000000000000000e+00	4
80	1.000000000000000e+00	10
81	1.000000000000000e+00	4
82	1.000000000000000e+00	6
83	1.000000000000000e+00	10
84	1.000000000000000e+00	10
85	1.000000000000000e+00	2
86	1.000000000000000e+00	8
87	1.000000000000000e+00	8
88	1.000000000000000e+00	14
89	1.000000000000000e+00	8
90	1.000000000000000e+00	8
91	1.000000000000000e+00	36
92	1.000000000000000e+00	10
93	1.000000000000000e+00	12
94	1.000000000000000e+00	16
95	1.000000000000000e+00	6
96	1.000000000000000e+00	2
97	1.000000000000000e+00	20
98	1.000000000000000e+00	12
99	1.000000000000000e+00	20
100	1.000000000000000e+00	2
101	1.000000000000000e+00	22
102	1.000000000000000e+00	2
103	1.000000000000000e+00	8
104	1.000000000000000e+00	4
105	1.000000000000000e+00	16
106	1.000000000000000e+00	22
107	1.000000000000000e+00	4
108	1.000000000000000e+00	32
109	1.000000000000000e+00	2
110	1.000000000000000e+00	2
111	1.000000000000000e+00	28
112	1.000000000000000e+00	6
113	1.000000000000000e+00	2
114	1.000000000000000e+00	2
115	1.000000000000000e+00	2
116	1.000000000000000e+00	2
117	1.000000000000000e+00	4
118	1.000000000000000e+00	14
119	1.000000000000000e+00	2
120	1.000000000000000e+00	2
121	1.000000000000000e+00	16
122	1.000000000000000e+00	8
123	1.000000000000000e+00	18
