Método usado: C-GRASP

POSIÇÃO	ÁREA(mm²)	CUSTO

1	9.900000000000003e-01	30
2	9.900000000000003e-01	30
3	9.900000000000003e-01	30
4	9.900000000000003e-01	30
5	9.900000000000003e-01	30
6	9.900000000000003e-01	30
7	9.900000000000003e-01	30
8	9.900000000000003e-01	30
9	9.900000000000003e-01	30
10	9.900000000000003e-01	30
11	9.900000000000003e-01	30
12	9.900000000000003e-01	30
13	9.900000000000003e-01	30
14	9.900000000000003e-01	30
15	9.900000000000003e-01	30
16	9.900000000000003e-01	30
17	9.900000000000003e-01	30
18	9.900000000000003e-01	30
19	9.900000000000003e-01	30
20	9.900000000000003e-01	30
21	9.900000000000003e-01	30
22	9.900000000000003e-01	30
23	9.900000000000003e-01	30
24	9.900000000000003e-01	30
25	9.900000000000003e-01	30
26	9.900000000000003e-01	30
27	9.900000000000003e-01	30
28	9.900000000000003e-01	30
29	9.900000000000003e-01	30
30	9.900000000000003e-01	30
31	9.900000000000003e-01	30
32	9.900000000000003e-01	30
33	9.900000000000003e-01	30
34	9.900000000000003e-01	30
35	9.900000000000003e-01	30
36	9.900000000000003e-01	30
37	9.900000000000003e-01	30
38	9.900000000000003e-01	30
39	9.900000000000003e-01	30
40	9.900000000000003e-01	30
41	9.900000000000003e-01	30
42	9.900000000000003e-01	30
43	9.900000000000003e-01	30
44	9.900000000000003e-01	30
45	9.900000000000003e-01	30
46	9.900000000000003e-01	30
47	9.900000000000003e-01	30
48	9.900000000000003e-01	30
49	9.900000000000003e-01	30
50	9.900000000000003e-01	30
51	9.900000000000003e-01	30
52	9.900000000000003e-01	30
53	9.900000000000003e-01	30
54	9.900000000000003e-01	30
55	9.900000000000003e-01	30
56	9.900000000000003e-01	30
57	9.900000000000003e-01	30
58	9.900000000000003e-01	30
59	9.900000000000003e-01	30
60	9.900000000000003e-01	30
61	9.900000000000003e-01	30
62	9.900000000000003e-01	30
63	9.900000000000003e-01	30
64	9.900000000000003e-01	30
65	9.900000000000003e-01	30
66	9.900000000000003e-01	30
67	9.900000000000003e-01	30
68	9.900000000000003e-01	30
69	9.900000000000003e-01	30
70	9.900000000000003e-01	30
71	9.900000000000003e-01	30
72	9.900000000000003e-01	30
73	9.900000000000003e-01	30
74	9.900000000000003e-01	30
75	9.900000000000003e-01	30
76	9.900000000000003e-01	30
77	9.900000000000003e-01	30
78	9.900000000000003e-01	30
79	9.900000000000003e-01	30
80	9.900000000000003e-01	30
81	9.900000000000003e-01	30
82	9.900000000000003e-01	30
83	9.900000000000003e-01	30
84	9.900000000000003e-01	30
85	9.900000000000003e-01	30
86	9.900000000000003e-01	30
87	9.900000000000003e-01	30
88	9.900000000000003e-01	30
89	9.900000000000003e-01	30
90	9.900000000000003e-01	30
91	9.900000000000003e-01	30
92	9.900000000000003e-01	30
93	9.900000000000003e-01	30
94	9.900000000000003e-01	30
95	9.900000000000003e-01	30
96	9.900000000000003e-01	30
97	9.900000000000003e-01	30
98	9.900000000000003e-01	30
99	9.900000000000003e-01	30
100	9.900000000000003e-01	30
101	9.900000000000003e-01	30
102	9.900000000000003e-01	30
103	9.900000000000003e-01	30
104	9.900000000000003e-01	30
105	9.900000000000003e-01	30
106	9.900000000000003e-01	30
107	9.900000000000003e-01	30
108	9.900000000000003e-01	30
109	9.900000000000003e-01	30
110	9.900000000000003e-01	30
111	9.900000000000003e-01	30
112	9.900000000000003e-01	30
113	9.900000000000003e-01	30
114	9.900000000000003e-01	30
115	9.900000000000003e-01	30
116	9.900000000000003e-01	30
117	9.900000000000003e-01	30
118	9.900000000000003e-01	30
119	9.900000000000003e-01	30
120	9.900000000000003e-01	30
121	9.900000000000003e-01	30
122	9.900000000000003e-01	30
123	9.900000000000003e-01	30
124	9.900000000000003e-01	30
125	9.900000000000003e-01	30
126	9.900000000000003e-01	30
127	9.900000000000003e-01	30
128	9.900000000000003e-01	30
129	9.900000000000003e-01	30
130	9.900000000000003e-01	30
131	9.900000000000003e-01	30
132	9.900000000000003e-01	30
133	9.900000000000003e-01	30
134	9.900000000000003e-01	30
135	9.900000000000003e-01	30
136	9.900000000000003e-01	30
137	9.900000000000003e-01	30
138	9.900000000000003e-01	30
139	9.900000000000003e-01	30
140	9.900000000000003e-01	30
141	9.900000000000003e-01	30
142	9.900000000000003e-01	30
143	9.900000000000003e-01	30
144	9.900000000000003e-01	30
145	9.900000000000003e-01	30
146	9.900000000000003e-01	30
147	9.900000000000003e-01	30
148	9.900000000000003e-01	30
149	9.900000000000003e-01	30
150	9.900000000000003e-01	30
151	9.900000000000003e-01	30
152	9.900000000000003e-01	30
153	9.900000000000003e-01	30
154	9.900000000000003e-01	30
155	9.900000000000003e-01	30
156	9.900000000000003e-01	30
157	9.900000000000003e-01	30
158	9.900000000000003e-01	30
