Método usado: LUUS JAAKOLA

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	8
2	1.000000000000000e+00	10
3	1.000000000000000e+00	8
4	1.000000000000000e+00	6
5	1.000000000000000e+00	16
6	1.000000000000000e+00	12
7	1.000000000000000e+00	6
8	1.000000000000000e+00	12
9	1.000000000000000e+00	20
10	1.000000000000000e+00	12
11	1.000000000000000e+00	28
12	1.000000000000000e+00	8
13	1.000000000000000e+00	10
14	1.000000000000000e+00	8
15	1.000000000000000e+00	2
16	1.000000000000000e+00	28
17	1.000000000000000e+00	2
18	1.000000000000000e+00	24
19	1.000000000000000e+00	6
20	1.000000000000000e+00	32
21	1.000000000000000e+00	10
22	1.000000000000000e+00	18
23	1.000000000000000e+00	24
24	1.000000000000000e+00	18
25	1.000000000000000e+00	6
26	1.000000000000000e+00	8
27	1.000000000000000e+00	6
28	1.000000000000000e+00	30
29	1.000000000000000e+00	8
30	1.000000000000000e+00	66
31	1.000000000000000e+00	6
32	1.000000000000000e+00	28
33	1.000000000000000e+00	20
34	1.000000000000000e+00	16
35	1.000000000000000e+00	28
36	1.000000000000000e+00	30
37	1.000000000000000e+00	12
38	1.000000000000000e+00	14
39	1.000000000000000e+00	2
40	1.000000000000000e+00	2
41	1.000000000000000e+00	50
42	1.000000000000000e+00	22
43	1.000000000000000e+00	8
44	1.000000000000000e+00	18
45	1.000000000000000e+00	2
46	1.000000000000000e+00	16
47	1.000000000000000e+00	20
48	1.000000000000000e+00	12
49	1.000000000000000e+00	6
50	1.000000000000000e+00	18
51	1.000000000000000e+00	10
52	1.000000000000000e+00	28
53	1.000000000000000e+00	6
54	1.000000000000000e+00	28
55	1.000000000000000e+00	2
56	1.000000000000000e+00	6
57	1.000000000000000e+00	4
58	1.000000000000000e+00	10
59	1.000000000000000e+00	2
60	1.000000000000000e+00	20
61	1.000000000000000e+00	8
62	1.000000000000000e+00	2
63	1.000000000000000e+00	22
64	1.000000000000000e+00	4
65	1.000000000000000e+00	14
66	1.000000000000000e+00	8
67	1.000000000000000e+00	4
68	1.000000000000000e+00	6
69	1.000000000000000e+00	2
70	1.000000000000000e+00	6
71	1.000000000000000e+00	2
72	1.000000000000000e+00	12
73	1.000000000000000e+00	6
74	1.000000000000000e+00	6
75	1.000000000000000e+00	16
76	1.000000000000000e+00	6
77	1.000000000000000e+00	14
78	1.000000000000000e+00	6
79	1.000000000000000e+00	4
80	1.000000000000000e+00	6
81	1.000000000000000e+00	6
82	1.000000000000000e+00	10
83	1.000000000000000e+00	34
84	1.000000000000000e+00	12
85	1.000000000000000e+00	30
86	1.000000000000000e+00	4
87	1.000000000000000e+00	10
88	1.000000000000000e+00	18
89	1.000000000000000e+00	18
90	1.000000000000000e+00	8
91	1.000000000000000e+00	14
92	1.000000000000000e+00	10
93	1.000000000000000e+00	10
