Método usado: ORD_SEARCH

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	0
2	1.000000000000000e+00	0
3	1.000000000000000e+00	0
4	1.000000000000000e+00	0
5	1.000000000000000e+00	0
6	1.000000000000000e+00	0
7	1.000000000000000e+00	0
8	1.000000000000000e+00	0
9	1.000000000000000e+00	0
10	1.000000000000000e+00	0
11	1.000000000000000e+00	0
12	1.000000000000000e+00	0
13	1.000000000000000e+00	0
14	1.000000000000000e+00	0
15	1.000000000000000e+00	0
16	1.000000000000000e+00	0
17	1.000000000000000e+00	0
18	1.000000000000000e+00	0
19	1.000000000000000e+00	0
20	1.000000000000000e+00	0
21	1.000000000000000e+00	0
22	1.000000000000000e+00	0
23	1.000000000000000e+00	0
24	1.000000000000000e+00	0
25	1.000000000000000e+00	0
26	1.000000000000000e+00	0
27	1.000000000000000e+00	0
28	1.000000000000000e+00	0
29	1.000000000000000e+00	0
30	1.000000000000000e+00	0
31	1.000000000000000e+00	0
32	1.000000000000000e+00	0
33	1.000000000000000e+00	0
34	1.000000000000000e+00	0
35	1.000000000000000e+00	0
36	1.000000000000000e+00	0
37	1.000000000000000e+00	0
38	1.000000000000000e+00	0
39	1.000000000000000e+00	0
40	1.000000000000000e+00	0
41	1.000000000000000e+00	0
42	1.000000000000000e+00	0
43	1.000000000000000e+00	0
44	1.000000000000000e+00	0
45	1.000000000000000e+00	0
46	1.000000000000000e+00	0
47	1.000000000000000e+00	0
48	1.000000000000000e+00	0
49	1.000000000000000e+00	0
50	1.000000000000000e+00	0
51	1.000000000000000e+00	0
52	1.000000000000000e+00	0
53	1.000000000000000e+00	0
54	1.000000000000000e+00	0
55	1.000000000000000e+00	0
56	1.000000000000000e+00	0
57	1.000000000000000e+00	0
58	1.000000000000000e+00	0
59	1.000000000000000e+00	0
60	1.000000000000000e+00	0
61	1.000000000000000e+00	0
62	1.000000000000000e+00	0
63	1.000000000000000e+00	0
64	1.000000000000000e+00	0
65	1.000000000000000e+00	0
66	1.000000000000000e+00	0
67	1.000000000000000e+00	0
